feature_id,feature_label,omics_layer,original_primary_candidate_tier,direct_detected_feature,result_level_evidence_present,n_evidence_records,n_independent_studies,n_direction_coded_records,n_increase_records,n_decrease_records,majority_direction_ratio,n_significant_records,n_significant_independent_studies,median_effect_percentile,best_effect_percentile,disease_context_count,has_activity_or_remission_evidence,has_longitudinal_or_treatment_evidence,mechanism_level,feature_in_locked_model_space,nonzero_coefficient_count,supported_task_count,selection_frequency,primary_axis_support,permutation_supported_modality,evidence_frequency_raw_bin,evidence_frequency_score,direction_raw_bin,direction_score,effect_raw_bin,effect_strength_score,disease_process_raw_bin,disease_process_score,mechanism_raw_bin,mechanism_score,model_raw_bin,model_support_score,conservative_total_score,available_max_score,available_evidence_normalized_score,evidence_completeness,recalculated_manuscript_evidence_tier,tier_match_flag,tier_mismatch_reason,score_source_status,any_absence_defined_zero,any_reconstructed_nonzero,provenance_complete_flag,manual_review_flag
microbe__EC:3.6.1.55,EC:3.6.1.55,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,8,3,0,0,0,,4,2,0.7172765657987333,0.9285714285714286,0,False,False,0,True,1,3,0.0,True,True,3,12.0,0,0.0,3,9.0,0,0.0,0,0.0,3,9.0,30.0,100,30.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:4.3.1.17,EC:4.3.1.17,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,14,9,0,0,0,,5,4,0.7008145363408521,0.8703703703703703,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:6.4.1.2,EC:6.4.1.2,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,12,9,0,0,0,,3,3,0.7966889880952381,0.8671875,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,4,12.0,1,3.0,0,0.0,3,9.0,44.0,100,44.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.6.1.1,EC:2.6.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,21,9,0,0,0,,4,3,0.8421875,0.984375,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,5,15.0,1,3.0,0,0.0,3,9.0,47.0,100,47.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:1.97.1.4,EC:1.97.1.4,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,15,8,0,0,0,,4,2,0.3203125,0.3203125,2,True,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,1,3.0,2,6.0,0,0.0,3,9.0,38.0,100,38.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.1.1.72,EC:2.1.1.72,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,14,8,0,0,0,,6,4,0.6953125,0.9540816326530612,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.2.1.1,EC:2.2.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,19,11,0,0,0,,5,3,0.8469387755102041,0.9814814814814815,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,5,15.0,1,3.0,0,0.0,3,9.0,47.0,100,47.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.4.1.1,EC:2.4.1.1,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,16,9,0,0,0,,5,3,0.7036033163265306,0.9540816326530612,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.4.2.14,EC:2.4.2.14,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,14,9,0,0,0,,7,5,0.6604503870513723,0.7976190476190477,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
microbe__EC:2.5.1.3,EC:2.5.1.3,microbiome,Tier 4 - model-prioritized exploratory candidate,True,True,12,9,0,0,0,,4,3,0.5816592261904762,0.9523809523809523,1,False,True,0,True,1,3,0.0,True,True,5,20.0,0,0.0,3,9.0,1,3.0,0,0.0,3,9.0,41.0,100,41.0,1.0,Evidence Tier II,True,,reconstructed_from_project_sources,True,True,True,True
