task,modality,curve_type,x,y,threshold,fold,positive_class,notes
CD vs UC,metabolome,ROC,0.2154696132596685,0.45098039215686275,0.4920275939546776,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2154696132596685,0.46078431372549017,0.4763433572940559,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.22099447513812154,0.46078431372549017,0.4737008255956866,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2265193370165746,0.46078431372549017,0.4675445991013324,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.23204419889502761,0.46078431372549017,0.465106892072079,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.23756906077348067,0.46078431372549017,0.4616645943083689,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.23756906077348067,0.47058823529411764,0.4551637354502079,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2430939226519337,0.47058823529411764,0.4538623829134576,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2430939226519337,0.4803921568627451,0.4316797372918409,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.24861878453038674,0.4803921568627451,0.4290049391345695,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2541436464088398,0.4803921568627451,0.4252681641968888,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2541436464088398,0.49019607843137253,0.4157768350915943,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2541436464088398,0.5,0.4153392083384467,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2541436464088398,0.5098039215686274,0.4120638164846023,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2541436464088398,0.5196078431372549,0.4065299906479427,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2541436464088398,0.5294117647058824,0.4062844424990002,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2596685082872928,0.5294117647058824,0.3927053437910665,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.26519337016574585,0.5294117647058824,0.3892295200611222,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.26519337016574585,0.5392156862745098,0.3878100134236987,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.26519337016574585,0.5490196078431373,0.386264069378477,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.26519337016574585,0.5588235294117647,0.3760662998857064,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.27071823204419887,0.5588235294117647,0.3726980052233641,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.27071823204419887,0.5686274509803921,0.3669862991747945,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.27624309392265195,0.5686274509803921,0.3665198666254455,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.281767955801105,0.5686274509803921,0.353049586470232,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.281767955801105,0.5784313725490197,0.3524444545807535,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.287292817679558,0.5784313725490197,0.34860013947232,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.292817679558011,0.5784313725490197,0.3416966387963052,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.2983425414364641,0.5784313725490197,0.3361938360846001,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.30386740331491713,0.5784313725490197,0.316022322880968,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.30386740331491713,0.5882352941176471,0.3155028151590874,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.30386740331491713,0.5980392156862745,0.3154003318058875,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.30386740331491713,0.6078431372549019,0.3073355393950389,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.30939226519337015,0.6078431372549019,0.2952582717380542,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.30939226519337015,0.6176470588235294,0.2909742062791622,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3149171270718232,0.6176470588235294,0.2694833832906628,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3149171270718232,0.6274509803921569,0.2655584096027363,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.32044198895027626,0.6274509803921569,0.2650154332682037,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3259668508287293,0.6274509803921569,0.2616505828568262,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3259668508287293,0.6372549019607843,0.2606717811538222,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3259668508287293,0.6470588235294118,0.2549641711752968,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3259668508287293,0.6568627450980392,0.2505850838959818,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3314917127071823,0.6568627450980392,0.2484223162402409,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3370165745856354,0.6568627450980392,0.2459225276329975,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3370165745856354,0.6666666666666666,0.2425090383875477,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3425414364640884,0.6666666666666666,0.2293402360458591,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3425414364640884,0.6764705882352942,0.2293035839640329,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3425414364640884,0.6862745098039216,0.2178553327260593,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.34806629834254144,0.6862745098039216,0.2053557593884276,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.35359116022099446,0.6862745098039216,0.2050253179612209,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.35359116022099446,0.696078431372549,0.2015610852542457,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.35911602209944754,0.696078431372549,0.1989262164356131,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.36464088397790057,0.696078431372549,0.1969819284998454,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.36464088397790057,0.7058823529411765,0.195348162256117,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.36464088397790057,0.7156862745098039,0.1942129979772146,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3701657458563536,0.7156862745098039,0.1846323912214444,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3756906077348066,0.7156862745098039,0.1845250518007885,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3812154696132597,0.7156862745098039,0.1825085683030984,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.3867403314917127,0.7156862745098039,0.1821605386395008,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39226519337016574,0.7156862745098039,0.1805818327365312,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39779005524861877,0.7156862745098039,0.1790782042422279,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39779005524861877,0.7254901960784313,0.1732498601215506,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39779005524861877,0.7352941176470589,0.17211732396872,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39779005524861877,0.7450980392156863,0.1719107908690609,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39779005524861877,0.7549019607843137,0.1694345784671877,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39779005524861877,0.7647058823529411,0.1692810679860006,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.39779005524861877,0.7745098039215687,0.1649818444576268,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.40331491712707185,0.7745098039215687,0.1628456832252747,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.40331491712707185,0.7843137254901961,0.1606831225374497,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4088397790055249,0.7843137254901961,0.1517651776274865,pooled_oof,CD,x=FPR y=TPR pooled OOF
CD vs UC,metabolome,ROC,0.4143646408839779,0.7843137254901961,0.1513197399199026,pooled_oof,CD,x=FPR y=TPR pooled OOF
