target_path,source_path,file_name,extension,sha256,copied_time,public_release_status,notes
data/processed/internal_cv_splits.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\data\internal\internal_cv_splits.csv,internal_cv_splits.csv,.csv,0e5a41d0d256366860bd468a52acd2bd516a5bc94902e04bc321f07e565ef68c,2026-06-20T14:15:35,release_ready_processed_matrix,Recovered HMP2/IBDMDB processed matrix/audit table; raw source data not redistributed.
data/processed/internal_roc_pr_curves.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\outputs\internal\internal_roc_pr_curves.csv,internal_roc_pr_curves.csv,.csv,f3ba14c81d32a57cfbbced2d538e53cc53a367cad62fd6852b6ed5141218d09b,2026-06-20T14:15:35,release_ready_internal_model_output,Recovered/recomputed internal model output.
data/processed/internal_prediction_scores.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\outputs\internal\internal_prediction_scores.csv,internal_prediction_scores.csv,.csv,bcacb2639c1515c96d07beffdc2ef0010fca228134162efe8937092dd6b9728a,2026-06-20T14:15:35,release_ready_internal_model_output,Recovered/recomputed internal model output.
data/processed/internal_model_coefficients.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\outputs\internal\internal_model_coefficients.csv,internal_model_coefficients.csv,.csv,73cc753b6b9ce433fbcace05c6917f9fed06c7f5fcbe93576ae9c20b1a97413a,2026-06-20T14:15:36,release_ready_internal_model_output,Recovered/recomputed internal model output.
outputs_expected/expected_internal_model_results.csv,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\outputs\internal\internal_model_performance.csv,expected_internal_model_results.csv,.csv,9953edcce42c7d4f7ed445c1c8338f643a39abaf81ba984e0de877e890877cd4,2026-06-20T14:15:36,release_ready_internal_model_output,Recovered/recomputed internal model output.
scripts/06_prepare_hmp2_matrices.py,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\scripts\06_prepare_hmp2_matrices.py,06_prepare_hmp2_matrices.py,.py,ca15ed68260b4955957f35dae5b855f4436ca51aa8636c71eefa1c3dffdbfeeb,2026-06-20T14:15:36,release_ready_rebuilt_script,Recovered/rebuilt HMP2 internal model script.
scripts/07_train_internal_models.py,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\scripts\07_train_internal_models.py,07_train_internal_models.py,.py,3b17990a4ed0b23a3b64b2737ebda688bb776b9490f04a38c4a48d4879eadb25,2026-06-20T14:15:36,release_ready_rebuilt_script,Recovered/rebuilt HMP2 internal model script.
scripts/08_grouped_cross_validation.py,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\scripts\08_grouped_cross_validation.py,08_grouped_cross_validation.py,.py,ecc750ef43f2f5bb8d6606addb406b43d0d7a178955adc2ac94ae8493abaae9b,2026-06-20T14:15:36,release_ready_rebuilt_script,Recovered/rebuilt HMP2 internal model script.
scripts/09_evaluate_internal_models.py,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\scripts\09_evaluate_internal_models.py,09_evaluate_internal_models.py,.py,90f5addb757158b588e1d79e6042d70f96566a0976e01488c6f063d7e4ba4c1e,2026-06-20T14:15:36,release_ready_rebuilt_script,Recovered/rebuilt HMP2 internal model script.
docs/hmp2_internal_model_reproducibility_note.md,<PROJECT_ROOT>\Code available\hmp2_internal_model_code_package\audit\hmp2_internal_model_recovery_report.md,hmp2_internal_model_reproducibility_note.md,.md,7083993a39799b1fb72b83229fb44e17f74877c81f56a1f9aa3c97a01c942911,2026-06-20T14:15:36,release_ready_documentation,Internal model reproducibility note.
scripts/10_score_new_samples.py,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\scripts\10_score_new_samples.py,10_score_new_samples.py,.py,ce29d6ca2e46cd1f0812b4dcb77cb9ee0109bbef9373ee3b2c2a7a70262d6404,2026-06-20T14:15:36,release_ready_partial_strict_subset,Strict-subset scoring script.
data/model_coefficients/locked_metabolome_coefficients.csv,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\data\model_coefficients\locked_metabolome_coefficients.csv,locked_metabolome_coefficients.csv,.csv,77a216b1640916c6895d55561bd4c2a8bef38169f7e20ece5c2593a313851f60,2026-06-20T14:15:36,release_ready_partial_strict_subset,Normalized to public locked coefficient interface. Missing intercept/scaling are not imputed.
data/model_coefficients/locked_microbiome_coefficients.csv,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\data\model_coefficients\locked_microbiome_coefficients.csv,locked_microbiome_coefficients.csv,.csv,4607de7854d363bd31c75411675f91bc371891ef47ecf87c93cdf584730daff9,2026-06-20T14:15:36,release_ready_partial_strict_subset,Normalized to public locked coefficient interface. Missing intercept/scaling are not imputed.
data/model_coefficients/locked_late_fusion_coefficients.csv,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\data\model_coefficients\locked_late_fusion_coefficients.csv,locked_late_fusion_coefficients.csv,.csv,b97db96f770bdc3e96ea0a9418a3b14c26b40aa8a224eb581ffb0f160a11e38c,2026-06-20T14:15:36,release_ready_partial_strict_subset,Normalized to public locked coefficient interface. Missing intercept/scaling are not imputed.
data/model_coefficients/locked_model_intercepts.csv,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\data\model_coefficients\locked_model_intercepts.csv,locked_model_intercepts.csv,.csv,b658f18738edd85d928f330726e9b1444cf88599d504a9191b03f4c678fd6863,2026-06-20T14:15:36,release_ready_partial_strict_subset,Normalized to public locked coefficient interface. Missing intercept/scaling are not imputed.
data/model_coefficients/locked_scaling_parameters.csv,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\data\model_coefficients\locked_scaling_parameters.csv,locked_scaling_parameters.csv,.csv,fd9a27f822cf16308a8dcbf419bf8524cfd804f74f2e59239757a084a5d904a3,2026-06-20T14:15:36,release_ready_partial_strict_subset,Normalized to public locked coefficient interface. Missing intercept/scaling are not imputed.
data/model_coefficients/locked_feature_manifest.csv,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\data\model_coefficients\locked_feature_manifest.csv,locked_feature_manifest.csv,.csv,7cf094b8a85567d5e655d31fe28f06ebfe30bcd09d372fe97e40efd4bee4b19b,2026-06-20T14:15:36,release_ready_partial_strict_subset,Recovered locked feature manifest.
docs/locked_model_scoring_note.md,<PROJECT_ROOT>\Code available\locked_model_coefficients_scoring_package\docs\locked_model_scoring_note.md,locked_model_scoring_note.md,.md,c548874ee78625dbe9e145ff92368ab3cfbce50a2bbc41156d752418b9ff5415,2026-06-20T14:15:36,release_ready_documentation,Locked scoring boundary note.
data/external_ST001000/st001000_feature_matching_table.csv,<PROJECT_ROOT>\EMSAv1modlereport\EMSAv1-external report\ST001000_external_validation_recovery_20260619_112004\data\external\st001000_feature_matching_table.csv,st001000_feature_matching_table.csv,.csv,e7733b1e0418da2083d7338cb23f6e505b5bfb2ce2b92050d113b4f7be5a003d,2026-06-20T14:15:36,release_ready_summary_audit,ST001000 summary-level external metabolomics projection audit; not complete external validation.
data/external_ST001000/st001000_unmatched_feature_reasons.csv,<PROJECT_ROOT>\EMSAv1modlereport\EMSAv1-external report\ST001000_external_validation_recovery_20260619_112004\data\external\st001000_unmatched_feature_reasons.csv,st001000_unmatched_feature_reasons.csv,.csv,f8cc986e3c00637bc3fd2ea215b7971042ca7ed7f6fbea07a46a68b37b0e60d6,2026-06-20T14:15:36,release_ready_summary_audit,ST001000 summary-level external metabolomics projection audit; not complete external validation.
data/external_ST001000/st001000_projection_scores.csv,<PROJECT_ROOT>\EMSAv1modlereport\EMSAv1-external report\ST001000_external_validation_recovery_20260619_112004\data\external\st001000_projection_scores.csv,st001000_projection_scores.csv,.csv,c6a29e494403c26cf41a14308dcb36fb5d0ec429e5d4925d0c31755a444a14b7,2026-06-20T14:15:36,release_ready_deidentified_summary,ST001000 summary-level external metabolomics projection audit; not complete external validation.; sample_id/raw_file removed from public copy
data/external_ST001000/st001000_performance_summary.csv,<PROJECT_ROOT>\EMSAv1modlereport\EMSAv1-external report\ST001000_external_validation_recovery_20260619_112004\data\external\st001000_performance_summary.csv,st001000_performance_summary.csv,.csv,2768da7aa0df6c641cddfa1ab6a07e3ac0f48b1b915fb39d8f73f7ef528883ff,2026-06-20T14:15:36,release_ready_summary_audit,ST001000 summary-level external metabolomics projection audit; not complete external validation.
