panel,task,modality,x,y
D,UC vs nonIBD,microbiome,0.2571428571428571,0.37254901960784315
D,UC vs nonIBD,microbiome,0.26666666666666666,0.37254901960784315
D,UC vs nonIBD,microbiome,0.26666666666666666,0.39215686274509803
D,UC vs nonIBD,microbiome,0.2857142857142857,0.39215686274509803
D,UC vs nonIBD,microbiome,0.2857142857142857,0.45098039215686275
D,UC vs nonIBD,microbiome,0.3047619047619048,0.45098039215686275
D,UC vs nonIBD,microbiome,0.3047619047619048,0.46078431372549017
D,UC vs nonIBD,microbiome,0.3142857142857143,0.46078431372549017
D,UC vs nonIBD,microbiome,0.3142857142857143,0.47058823529411764
D,UC vs nonIBD,microbiome,0.3333333333333333,0.47058823529411764
D,UC vs nonIBD,microbiome,0.3333333333333333,0.4803921568627451
D,UC vs nonIBD,microbiome,0.34285714285714286,0.4803921568627451
D,UC vs nonIBD,microbiome,0.34285714285714286,0.49019607843137253
D,UC vs nonIBD,microbiome,0.3523809523809524,0.49019607843137253
D,UC vs nonIBD,microbiome,0.3523809523809524,0.5196078431372549
D,UC vs nonIBD,microbiome,0.3904761904761905,0.5196078431372549
D,UC vs nonIBD,microbiome,0.3904761904761905,0.5294117647058824
D,UC vs nonIBD,microbiome,0.4,0.5294117647058824
D,UC vs nonIBD,microbiome,0.4,0.5392156862745098
D,UC vs nonIBD,microbiome,0.41904761904761906,0.5392156862745098
D,UC vs nonIBD,microbiome,0.41904761904761906,0.5490196078431373
D,UC vs nonIBD,microbiome,0.4380952380952381,0.5490196078431373
D,UC vs nonIBD,microbiome,0.4380952380952381,0.5588235294117647
D,UC vs nonIBD,microbiome,0.45714285714285713,0.5588235294117647
D,UC vs nonIBD,microbiome,0.45714285714285713,0.5882352941176471
D,UC vs nonIBD,microbiome,0.4666666666666667,0.5882352941176471
D,UC vs nonIBD,microbiome,0.4666666666666667,0.5980392156862745
D,UC vs nonIBD,microbiome,0.4857142857142857,0.5980392156862745
D,UC vs nonIBD,microbiome,0.4857142857142857,0.6078431372549019
D,UC vs nonIBD,microbiome,0.49523809523809526,0.6078431372549019
D,UC vs nonIBD,microbiome,0.49523809523809526,0.6470588235294118
D,UC vs nonIBD,microbiome,0.5047619047619047,0.6470588235294118
D,UC vs nonIBD,microbiome,0.5047619047619047,0.6666666666666666
D,UC vs nonIBD,microbiome,0.5428571428571428,0.6666666666666666
D,UC vs nonIBD,microbiome,0.5428571428571428,0.6862745098039216
D,UC vs nonIBD,microbiome,0.5523809523809524,0.6862745098039216
D,UC vs nonIBD,microbiome,0.5523809523809524,0.7254901960784313
D,UC vs nonIBD,microbiome,0.6095238095238096,0.7254901960784313
D,UC vs nonIBD,microbiome,0.6095238095238096,0.7352941176470589
D,UC vs nonIBD,microbiome,0.638095238095238,0.7352941176470589
D,UC vs nonIBD,microbiome,0.638095238095238,0.7450980392156863
D,UC vs nonIBD,microbiome,0.6571428571428571,0.7450980392156863
D,UC vs nonIBD,microbiome,0.6571428571428571,0.7549019607843137
D,UC vs nonIBD,microbiome,0.6666666666666666,0.7549019607843137
D,UC vs nonIBD,microbiome,0.6666666666666666,0.7647058823529411
D,UC vs nonIBD,microbiome,0.6857142857142857,0.7647058823529411
D,UC vs nonIBD,microbiome,0.6857142857142857,0.7941176470588235
D,UC vs nonIBD,microbiome,0.6952380952380952,0.7941176470588235
D,UC vs nonIBD,microbiome,0.6952380952380952,0.803921568627451
D,UC vs nonIBD,microbiome,0.7333333333333333,0.803921568627451
D,UC vs nonIBD,microbiome,0.7333333333333333,0.8235294117647058
D,UC vs nonIBD,microbiome,0.7523809523809524,0.8235294117647058
D,UC vs nonIBD,microbiome,0.7523809523809524,0.8333333333333334
D,UC vs nonIBD,microbiome,0.7619047619047619,0.8333333333333334
D,UC vs nonIBD,microbiome,0.7619047619047619,0.8431372549019608
D,UC vs nonIBD,microbiome,0.7714285714285715,0.8431372549019608
D,UC vs nonIBD,microbiome,0.7714285714285715,0.8529411764705882
D,UC vs nonIBD,microbiome,0.7904761904761904,0.8529411764705882
D,UC vs nonIBD,microbiome,0.7904761904761904,0.8627450980392157
D,UC vs nonIBD,microbiome,0.8285714285714286,0.8627450980392157
D,UC vs nonIBD,microbiome,0.8285714285714286,0.8823529411764706
D,UC vs nonIBD,microbiome,0.8380952380952381,0.8823529411764706
D,UC vs nonIBD,microbiome,0.8380952380952381,0.8921568627450981
D,UC vs nonIBD,microbiome,0.8571428571428571,0.8921568627450981
D,UC vs nonIBD,microbiome,0.8571428571428571,0.9019607843137255
D,UC vs nonIBD,microbiome,0.9238095238095239,0.9019607843137255
D,UC vs nonIBD,microbiome,0.9238095238095239,0.9117647058823529
D,UC vs nonIBD,microbiome,0.9333333333333333,0.9117647058823529
D,UC vs nonIBD,microbiome,0.9333333333333333,0.9215686274509803
