relative_path,size_bytes,md5,sha256
data/processed/hmp2_microbiome_processed_matrix.csv,1169556,479289E90E8E5D8348D68076FB2C7072,f20596121663d277dc3127409994c75f2a9c5e3f075e11aee540e4bc8d7c3b82
data/processed/hmp2_sample_metadata.csv,78189,47DD42D38D1862BC3CBD8F0001855332,5b62537c5e393d762a37f5c851b079087039ea2d4eafdc583b3b2313e9b08873
data/processed/internal_cv_splits.csv,426488,77281E6489F0CCDA14F12F7956F1F746,0e5a41d0d256366860bd468a52acd2bd516a5bc94902e04bc321f07e565ef68c
data/processed/internal_model_coefficients.csv,7967223,D7BEF61D5B7DECD68605C9FFD78A924D,73cc753b6b9ce433fbcace05c6917f9fed06c7f5fcbe93576ae9c20b1a97413a
data/processed/internal_prediction_scores.csv,915577,B144136345DA1F422D5C634DDDB5846E,bcacb2639c1515c96d07beffdc2ef0010fca228134162efe8937092dd6b9728a
data/processed/internal_roc_pr_curves.csv,886907,81B6BF15A2732635D0E5A41DCE833C72,f3ba14c81d32a57cfbbced2d538e53cc53a367cad62fd6852b6ed5141218d09b
data/processed/metabolite_filter_audit.csv,436023,FA273561AB7D88F491733BF02FEEBEA0,44ea8db67ce37e586329de86ed7154b1d2f9426d617721db86d00ef688bfcfd4
data/processed/microbiome_filter_audit.csv,1428765,2D0A410D08F39BA6F8EF7849B61B7226,60b6a1887b189191bb4d4af9b1af621604570d4bc1cbf871dcbcc128ce894752
data/processed/six_dimension_scores.csv,177665,863144F6CA366E11336700312B0E7445,4681c367c7be27270a5278570e397a93c7de51545d1c142f280b662d170b8159
data/processed/supplementary_tables/supplementary_tables_status.csv,2859,F29E5D6C023C80377AFB4FE112C593F8,28adccdd767163fd46ced436f9cf5c2f35825833b5b92d2464938ba69f59d6af
data/processed/tier_assignment_table.csv,167676,A5D8A15C713F9EC235B90D84768DC320,0dd374c0855c6c76b779f242165a15f2a6a7dcc81b1daf515c0cc5d1eac34292
data/processed/tier_rule_definitions_recovered.csv,4974,BA6EE61CBDD36911E774B99CE3458737,0429d7fd01b1c6985188f7b37595f49bc7c362fe4309d615cb51d0fe9218fb66
data/raw_public_accession_manifest/source_manifest.csv,7880,B81036E3BF299632DC9B7DA30B525A5B,171609f840d5a7d2980c634929f57148318b2dd9689d6a5d583548a0451ba054
data_availability_statement.md,1168,499411D39D52F5AB61FF1EE6885F5A20,66f8dadf2220479a3d512b3fa358862d435623d04e1862580ddf7ecfed26132c
docs/candidate_bridge_scope.md,647,CD420FE9D04403E7708E0F29D4C973F7,c32aef83650ff8fefc8e06fd0f658672f7a2972f5f195e421c8360cafb02430b
docs/changelog.md,131,81A2D25FBDEF7389F16B0210484ECEE9,9b78cf1059487e073bcc45240705e4126f1f595cab0be1d9eac6535214154779
docs/data_dictionary.md,239,1416A59F73D2874133192BA885D8BA97,76ac4417667a0a61748a32a7522fa62c8c9c27e1918b507c5d5feaae3c5ae785
docs/feature_filtering_note.md,209,AA2137697757532270B76AB35AD85301,dff8dea6b601bfc36094a094354c762f00e82545ce1205e59bf443f1d839c51b
